FECHA,DAILY_ENERGY_CONSUMPTION_KWH,HOUSEHOLD_TXT,INTERVENTION_BOOLEAN,HOUSEHOLD_SIZE_INT,HOUSEHOLD_INCOME_INT,MEAN_TEMPERATURE_C,MEAN_RELATIVE_HUMIDITY_PERC,MEAN_WIND_SPEED_MS,MAX_TEMPERATURE_C,MEAN_RELATIVE_HUMIDITY_PERC,MAX_WIND_SPEED_MS,MIN_TEMPERATURE_C,MIN_RELATIVE_HUMIDITY_PERC,MIN_WIND_SPEED_MS,PUBLIC_HOLIDAY_BOOLEAN,SCHOOL_HOLIDAY_BOOLEAN,HOUSEHOLD_NET_SOLAR_RADIATION_kWh,SIMULATED_ENERGY_CONSUMPTION_kWh,DAY_OF_THE_WEEK_INT,WEEKDAY_INT,ENTHALPY_GRADIENT_COOLING_DEHUM_kJperKg
2020-08-24,4.6618,H42X280,1,3,15000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,623.0840000000002,100.31654104265165,4,1,34.251424199692444
2020-08-24,16.2055,H25X283,1,3,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1386.6170000000004,101.11678328460009,4,1,34.251424199692444
2020-08-24,25.7936,H21X278,0,3,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1386.6170000000004,101.11678328460009,4,1,34.251424199692444
2020-08-24,11.9753,H82X281,0,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1386.6170000000004,101.11678328460009,4,1,34.251424199692444
2020-08-24,6.4620000000000015,H63X287,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1403.9370000000006,98.58336357955477,4,1,34.251424199692444
2020-08-24,17.501699999999996,H58X278,1,3,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1403.9370000000006,98.58336357955477,4,1,34.251424199692444
2020-08-24,11.3953,H14X279,1,3,2500,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1403.9370000000006,98.58336357955477,4,1,34.251424199692444
2020-08-24,15.3356,H99X280,0,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1403.9370000000006,98.58336357955477,4,1,34.251424199692444
2020-08-24,4.9845,H16X279,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1359.224,98.46307852627147,4,1,34.251424199692444
2020-08-24,7.279299999999997,H22X279,1,2,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1359.224,98.46307852627147,4,1,34.251424199692444
2020-08-24,5.7517,H65X279,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1359.224,98.46307852627147,4,1,34.251424199692444
2020-08-24,28.917300000000004,H88X278,0,3,15000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1359.224,98.46307852627147,4,1,34.251424199692444
2020-08-24,6.3576000000000015,H26X279,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,817.3829999999997,102.85384830061531,4,1,34.251424199692444
2020-08-24,13.412400000000002,H68X277,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,817.3829999999997,102.85384830061531,4,1,34.251424199692444
2020-08-24,5.6488000000000005,H79X301,0,3,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,817.3829999999997,102.85384830061531,4,1,34.251424199692444
2020-08-24,3.7615,H27X279,0,3,2500,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,461.82399999999984,97.07945867859165,4,1,34.251424199692444
2020-08-24,32.0489,H26X278,1,3,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,180.643,113.97497538680076,4,1,34.251424199692444
2020-08-24,8.0363,H26X287,1,2,12000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1273.954,104.41434294054102,4,1,34.251424199692444
2020-08-24,9.7811,H16X278,1,2,4500,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1273.954,104.41434294054102,4,1,34.251424199692444
2020-08-24,12.655699999999998,H92X280,0,3,9000,26.737499999999994,85.075,1.7416666666666665,28.199999999999992,95.9,2.8,24.2,77.50000000000003,0.8999999999999999,0,0,1273.954,104.41434294054102,4,1,34.251424199692444
